"geneid","gene_index","padj","SYMBOL"
"ENSG00000259068",42240,4.4652063820663e-23,"TRAV37"
"ENSG00000127955",23085,4.4994625009957e-23,"GNAI1"
"ENSG00000271526",21783,4.61157726882958e-23,"RP4-668E10.2"
"ENSG00000138036",6202,4.9774257852519e-23,"DYNC2LI1"
"ENSG00000273736",50394,5.37791824510158e-23,"CTB-186H2.2"
"ENSG00000228014",22744,6.06789505120765e-23,"ZNF680P1"
"ENSG00000167202",45875,6.28532581759296e-23,"TBC1D2B"
"ENSG00000261441",46167,6.43945642319608e-23,"RP11-217B1.2"
"ENSG00000248457",15772,6.5035271192932e-23,"RP11-419C19.2"
"ENSG00000207512",10202,6.5315193491518e-23,"Y_RNA"
"ENSG00000118245",9122,6.70644313852082e-23,"TNP1"
"ENSG00000230438",18560,6.85205305246486e-23,"SERPINB9P1"
"ENSG00000232225",41616,6.94794548450376e-23,"LINC01047"
"ENSG00000283683",3922,6.95245169068494e-23,"RP3-454G6.2"
"ENSG00000213237",24058,7.4429915832013e-23,"AC008155.1"
"ENSG00000206692",3914,8.28453260449146e-23,"Y_RNA"
"ENSG00000234741",3971,8.94507909220408e-23,"GAS5"
"ENSG00000215208",39210,9.00146500577204e-23,"KRT18P60"
"ENSG00000228401",31719,9.00146500577204e-23,"HSPC324"
"ENSG00000174697",23839,9.99515559126139e-23,"LEP"
"ENSG00000271814",24727,1.0594037022571e-22,"RN7SKP290"
"ENSG00000175344",44711,1.061549355996e-22,"CHRNA7"
"ENSG00000227036",51648,1.17093026370845e-22,"LINC00511"
"ENSG00000261573",4322,1.27531877571281e-22,"RP11-553K8.5"
"ENSG00000271468",42663,1.30220181937051e-22,"RP11-14N4.1"
"ENSG00000182544",38807,1.33321997959236e-22,"MFSD5"
"ENSG00000280378",1717,1.34928323938624e-22,"RP4-758J24.6"
"ENSG00000232149",26395,1.36942210222251e-22,"FERP1"
"ENSG00000277900",25951,1.37307008535638e-22,"Metazoa_SRP"
"ENSG00000284047",21641,1.41453440780305e-22,NA
"ENSG00000276807",45720,1.54866454304019e-22,"RP11-8P11.4"
"ENSG00000286113",28387,1.60211992404865e-22,NA
"ENSG00000176438",43686,1.64232038064282e-22,"SYNE3"
"ENSG00000223229",2383,1.66335654271716e-22,"RN7SKP270"
"ENSG00000258642",42131,1.7923103936444e-22,"RP11-219E7.2"
"ENSG00000237758",9378,1.80009727002185e-22,"BANF1P3"
"ENSG00000109158",13561,1.81046140157611e-22,"GABRA4"
"ENSG00000199626",8638,1.82120305138558e-22,"RNU6-989P"
"ENSG00000048405",23823,1.84236135091583e-22,"ZNF800"
"ENSG00000213400",6878,1.84385672535822e-22,"RPL12P18"
"ENSG00000233727",31097,1.84736424037496e-22,"RP11-380I20.2"
"ENSG00000213309",20067,1.85976043729256e-22,"RPL9P18"
"ENSG00000221255",5582,2.02555284343144e-22,"RNU6ATAC37P"
"ENSG00000276509",2977,2.0263610165856e-22,"CH17-353B19.1"
"ENSG00000254167",44220,2.19298981357402e-22,"IGHVIII-51-1"
"ENSG00000205423",47989,2.22400386162049e-22,"CNEP1R1"
"ENSG00000241789",10606,2.24525623730183e-22,"RN7SL504P"
"ENSG00000111647",39724,2.27288909216902e-22,"UHRF1BP1L"
"ENSG00000230830",10145,2.3375629965107e-22,"ARPP21-AS1"
"ENSG00000243073",451,2.34468621562825e-22,"PRAMEF4"
"ENSG00000260304",47652,2.53367271023074e-22,"RP11-388M20.6"
"ENSG00000236674",1866,2.64209964686953e-22,"RP4-792G4.3"
